exp,kind,pred_idx,type,duration_s,status,matched_gt_idx,matched_gt_dh,pred_dh,pred_ci,pred_accepted,baro_dh
UriyaCohenEliya_beitMansour1_SamsungSM-A235F_15-04-2026_exp5,train,1,up,20.3761034482759,clean,0,41.73,40.94238004226117,3.512597038222964,True,41.50237195101889
UriyaCohenEliya_beitMansour1_SamsungSM-A235F_15-04-2026_exp5,train,2,down,20.319103448275882,clean,1,-38.5,-41.123061365867805,3.6109865417140545,True,-41.393803664544635
UriyaCohenEliya_beitMansour1_SamsungSM-A235F_15-04-2026_exp5,train,3,up,11.107103448275893,clean,2,19.25,18.09545005589897,1.6425476679148352,True,17.756259052939782
UriyaCohenEliya_beitMansour1_SamsungSM-A235F_15-04-2026_exp5,train,4,up,5.860275862068875,clean,3,3.8500000000000014,3.9853350137354826,0.8105022393068406,True,3.9241543138863193
UriyaCohenEliya_beitMansour1_SamsungSM-A235F_15-04-2026_exp5,train,5,down,5.860275862068875,clean,4,-3.8500000000000014,-4.016854135181402,0.8168125663306077,True,-3.676386178193866
UriyaCohenEliya_beitMansour1_SamsungSM-A235F_15-04-2026_exp5,train,6,down,12.56448275862067,clean,5,-18.1045,-17.938881311754706,1.7796537504519139,True,-17.56586860654818
UriyaCohenEliya_beitMansour1_SamsungSM-A235F_15-04-2026_exp5,train,7,up,6.890896551724154,clean,6,6.4894,6.507329108404405,1.108577076985498,False,6.492995552836234
UriyaCohenEliya_beitMansour1_SamsungSM-A235F_15-04-2026_exp5,train,8,up,9.359689655172474,clean,7,11.55,11.567655449739995,1.1444524600746557,True,11.218407887663432
UriyaCohenEliya_beitMansour1_SamsungSM-A235F_15-04-2026_exp5,train,9,up,7.341896551724176,clean,8,7.699999999999996,7.661441680916348,0.7932003446544205,True,7.645454800691823
UriyaCohenEliya_beitMansour1_SamsungSM-A235F_15-04-2026_exp5,train,10,up,13.224482758620638,clean,9,16.900000000000006,19.217761661316782,1.91973168716515,True,19.32038947131045
UriyaCohenEliya_beitMansour1_SamsungSM-A235F_15-04-2026_exp5,train,11,down,7.342896551724152,clean,10,-6.200000000000003,-7.756044189425524,0.8136528125450715,True,-7.495497250941
UriyaCohenEliya_beitMansour1_SamsungSM-A235F_15-04-2026_exp5,train,12,down,5.841275862068869,clean,11,-3.8500000000000014,-3.9883006476049703,0.8104331309023305,True,-3.8344995267374316
UriyaCohenEliya_beitMansour1_SamsungSM-A235F_15-04-2026_exp5,train,13,down,8.541517241379324,clean,12,-11.549999999999995,-11.417734910805482,1.1387871695728389,True,-11.477402131734635
UriyaCohenEliya_beitMansour1_SamsungSM-A235F_15-04-2026_exp5,train,14,down,12.652103448275966,clean,17,-20.1042,-21.81195518976614,1.920899767505361,True,-21.812532082797702
