r2_peak_thresh,min_peak_abs_a,nms_radius_s,same_sign_min_gap_s,min_ride_s,max_ride_s,joint_r2_thresh,min_pair_abs_a,n_gt,n_pred,clean,missed,gt_merged,gt_split,fp,pred_merged,pred_split_part,f1_like,recall,precision,miss_rate,merge_rate,fp_rate,iou_f1@0.5,iou_precision@0.5,iou_recall@0.5,iou_mean@0.5,iou_tp@0.5,iou_fp@0.5,iou_fn@0.5
0.75,0.5,0.5,15.0,10.0,120.0,0.75,0.7,415,163,20,167,182,46,27,111,5,0.06920415224913495,0.04819277108433735,0.12269938650306748,0.40240963855421685,0.6809815950920245,0.1656441717791411,0.05536332179930796,0.09815950920245399,0.03855421686746988,0.6050465061623249,16,147,399
0.85,0.3,0.5,5.0,10.0,120.0,0.75,0.7,415,164,20,165,186,44,30,109,5,0.0690846286701209,0.04819277108433735,0.12195121951219512,0.39759036144578314,0.6646341463414634,0.18292682926829268,0.062176165803108814,0.10975609756097561,0.043373493975903614,0.6092965152673088,18,146,397
0.85,0.5,0.5,5.0,10.0,120.0,0.85,0.7,415,149,19,176,180,40,24,105,1,0.0673758865248227,0.04578313253012048,0.12751677852348994,0.42409638554216866,0.7046979865771812,0.1610738255033557,0.060283687943262415,0.11409395973154363,0.04096385542168675,0.6151871223188998,17,132,398
0.75,0.7,0.5,5.0,10.0,120.0,0.85,0.3,415,123,18,219,151,27,25,79,1,0.06691449814126393,0.043373493975903614,0.14634146341463414,0.5277108433734939,0.6422764227642277,0.2032520325203252,0.040892193308550186,0.08943089430894309,0.02650602409638554,0.6342226111283605,11,112,404
0.75,0.7,0.5,5.0,10.0,120.0,0.85,0.5,415,123,18,219,151,27,25,79,1,0.06691449814126393,0.043373493975903614,0.14634146341463414,0.5277108433734939,0.6422764227642277,0.2032520325203252,0.040892193308550186,0.08943089430894309,0.02650602409638554,0.6342226111283605,11,112,404
0.85,0.7,0.5,5.0,10.0,120.0,0.75,0.3,415,130,18,215,151,31,27,80,5,0.06605504587155964,0.043373493975903614,0.13846153846153847,0.5180722891566265,0.6153846153846154,0.2076923076923077,0.040366972477064215,0.08461538461538462,0.02650602409638554,0.6342226111283605,11,119,404
0.85,0.7,0.5,5.0,10.0,120.0,0.75,0.5,415,130,18,215,151,31,27,80,5,0.06605504587155964,0.043373493975903614,0.13846153846153847,0.5180722891566265,0.6153846153846154,0.2076923076923077,0.040366972477064215,0.08461538461538462,0.02650602409638554,0.6342226111283605,11,119,404
0.75,0.3,0.5,5.0,10.0,120.0,0.85,0.7,415,150,18,177,180,40,26,105,1,0.06371681415929203,0.043373493975903614,0.12,0.42650602409638555,0.7,0.17333333333333334,0.060176991150442484,0.11333333333333333,0.04096385542168675,0.6151871223188998,17,133,398
0.85,0.7,0.5,5.0,10.0,120.0,0.85,0.7,415,120,17,222,149,27,24,78,1,0.06355140186915888,0.04096385542168675,0.14166666666666666,0.5349397590361445,0.65,0.2,0.0411214953271028,0.09166666666666666,0.02650602409638554,0.6342226111283605,11,109,404
0.85,0.7,0.5,15.0,10.0,120.0,0.75,0.3,415,126,17,218,149,31,23,82,4,0.06284658040665435,0.04096385542168675,0.1349206349206349,0.5253012048192771,0.6507936507936508,0.18253968253968253,0.036968576709796676,0.07936507936507936,0.024096385542168676,0.6363755160953704,10,116,405
0.85,0.7,0.5,15.0,10.0,120.0,0.75,0.5,415,126,17,218,149,31,23,82,4,0.06284658040665435,0.04096385542168675,0.1349206349206349,0.5253012048192771,0.6507936507936508,0.18253968253968253,0.036968576709796676,0.07936507936507936,0.024096385542168676,0.6363755160953704,10,116,405
0.85,0.7,0.5,15.0,10.0,120.0,0.75,0.7,415,126,17,218,149,31,23,82,4,0.06284658040665435,0.04096385542168675,0.1349206349206349,0.5253012048192771,0.6507936507936508,0.18253968253968253,0.036968576709796676,0.07936507936507936,0.024096385542168676,0.6363755160953704,10,116,405
0.85,0.3,0.5,5.0,10.0,120.0,0.85,0.7,415,149,17,176,182,40,25,106,1,0.06028368794326241,0.04096385542168675,0.11409395973154363,0.42409638554216866,0.7114093959731543,0.16778523489932887,0.060283687943262415,0.11409395973154363,0.04096385542168675,0.6151871223188998,17,132,398
0.85,0.7,0.5,5.0,10.0,120.0,0.85,0.3,415,120,16,221,151,27,24,79,1,0.059813084112149535,0.03855421686746988,0.13333333333333333,0.5325301204819277,0.6583333333333333,0.2,0.0411214953271028,0.09166666666666666,0.02650602409638554,0.6342226111283605,11,109,404
