exp,gt_idx,status,type,t_start_s,t_end_s,pred_idxs,pos_r2,pos_A,neg_r2,neg_A,pair_joint_r2,pair_A_abs,pair_heatmap_energy,pair_gap_s,pair_W,pair_frac_flat,pair_reject_flags
eyalyakir_milleniumOutside_SamsungSM-S911B_15-04-2026_exp3,5,clean,down,155.877,168.39,5,0.9722263403367226,0.694540094660335,0.9751528220698644,-0.7018691178970413,0.9736627576474042,0.6982046062786881,0.7764247894337319,3.4569999999999936,1.475862068965517,0.2642857142857143,
eyalyakir_milleniumOutside_SamsungSM-S911B_15-04-2026_exp3,6,clean,down,180.287,195.905,6,0.9531988046398466,0.5931360986946574,0.9547344200625113,-0.5957615327215706,0.9539619602271849,0.594448815708114,0.6534395366428342,7.106999999999999,0.5793103448275863,0.8,
eyalyakir_milleniumOutside_SamsungSM-S911B_15-04-2026_exp3,7,clean,down,205.851,218.124,7,0.9521044578613127,0.7047699528081159,0.9727574103603756,-0.7142137857644842,0.960443562690954,0.7075396305649257,0.7627125907415733,3.304000000000002,1.475862068965517,0.2642857142857143,
eyalyakir_milleniumOutside_SamsungSM-S911B_15-04-2026_exp3,8,clean,up,229.423,252.168,8,0.9533445300156573,0.5792347915290333,0.9510830051131439,-0.6119390362738989,0.951494313686692,0.5955869139014661,0.6415403501142867,14.867000000000019,0.5793103448275863,0.8,
eyalyakir_milleniumOutside_SamsungSM-S911B_15-04-2026_exp3,9,clean,down,262.273,274.985,9,0.9702598634411839,0.6925854627989845,0.9724147184119215,-0.7027437347361096,0.9712858014579406,0.697664598767547,0.7748057607527559,3.437999999999988,1.475862068965517,0.2642857142857143,
eyalyakir_milleniumOutside_SamsungSM-S911B_15-04-2026_exp3,10,clean,down,286.722,302.182,10,0.9549171574351183,0.5918114995121934,0.9539895940467825,-0.5948049233915896,0.954447301670698,0.5933082114518915,0.6468929949023873,7.144999999999982,0.5793103448275863,0.8,
eyalyakir_milleniumOutside_SamsungSM-S911B_15-04-2026_exp3,11,clean,down,311.171,323.883,11,0.9493581214386406,0.6956700630543246,0.9741333820940872,-0.7160678201510144,0.9570330378876084,0.6819629432447669,0.7628503961764628,3.284999999999968,1.475862068965517,0.31785714285714284,
eyalyakir_milleniumOutside_Xiaomi22101320I_15-04-2026_exp3,0,clean,up,44.593,60.928,0,0.9495801373829034,0.6057784750726899,0.9548929819870872,-0.6284988486578154,0.9519136008264257,0.6171386618652527,0.622470144905112,8.495000000000005,0.48965517241379314,0.8,
eyalyakir_milleniumOutside_Xiaomi22101320I_15-04-2026_exp3,1,clean,down,69.958,80.797,1,0.997058175770165,0.7996959267816507,0.9643315510545483,-0.8361651473065084,0.9784072160560442,0.7831726486521263,0.6606400418113977,2.698999999999998,1.206896551724138,0.31785714285714284,
eyalyakir_milleniumOutside_Xiaomi22101320I_15-04-2026_exp3,2,clean,up,92.375,103.414,2,0.9953466272729672,0.782852028964988,0.9914778571526485,-0.8156396196798349,0.9933017307126423,0.7856383402873931,0.6547186767780251,2.5799999999999983,1.206896551724138,0.31785714285714284,
eyalyakir_milleniumOutside_Xiaomi22101320I_15-04-2026_exp3,3,clean,up,112.802,124.0,3,0.9948881131915267,0.7909130352989224,0.9498336654415416,-0.8060707809524418,0.9524739180660877,0.7800016460437242,0.6938984107933718,2.997,0.6689655172413793,0.8,
eyalyakir_milleniumOutside_Xiaomi22101320I_15-04-2026_exp3,4,clean,up,133.07,145.742,4,0.9466493352330244,0.7086530418758473,0.9531219344592478,-0.7334156849168084,0.9496053324661513,0.7210343633963279,0.7564304996203016,3.136000000000024,0.48965517241379314,0.8,
eyalyakir_milleniumOutside_Xiaomi22101320I_15-04-2026_exp3,5,clean,down,155.888,168.401,5,0.9496550010937458,0.7207833574006242,0.9493532056553216,-0.7071827137783777,0.9494179451243673,0.7139830355895009,0.7704275419287945,3.2350000000000136,0.48965517241379314,0.8,
eyalyakir_milleniumOutside_Xiaomi22101320I_15-04-2026_exp3,6,clean,down,180.298,195.916,6,0.9493785135116756,0.613832921401081,0.9500224328007042,-0.597763035911189,0.9495333141811699,0.605797978656135,0.6344270877686338,7.28400000000002,0.48965517241379314,0.8,
eyalyakir_milleniumOutside_Xiaomi22101320I_15-04-2026_exp3,7,clean,down,205.862,218.135,7,0.9487207879267372,0.7272318657674329,0.9494464138219881,-0.7188191128046052,0.9490514746590588,0.7230254892860191,0.7613025037200409,3.155000000000001,0.48965517241379314,0.8,
